ObID,Group,Date,AMPM,Scan,TimeInSec,IndividualA,Behavior,IndividualB
G_Gab20220201PM,Gabe,2022-02-01,PM,1,10,Gabe,Forage,
G_Gab20220201PM,Gabe,2022-02-01,PM,1,17,Isabelle,Solo-Feed,
G_Gab20220201PM,Gabe,2022-02-01,PM,1,21,Apple,Inactive,
G_Gab20220201PM,Gabe,2022-02-01,PM,1,24,Atilla,Locomote,
G_Gab20220201PM,Gabe,2022-02-01,PM,2,183,Gabe,Solo-Feed,
G_Gab20220201PM,Gabe,2022-02-01,PM,2,188,Isabelle,Proximity-Feed,Apple
G_Gab20220201PM,Gabe,2022-02-01,PM,2,193,Apple,Proximity-Feed,Atilla
G_Gab20220201PM,Gabe,2022-02-01,PM,2,197,Atilla,Proximity-Feed,Apple
G_Gab20220201PM,Gabe,2022-02-01,PM,3,384,Gabe,Forage,
G_Gab20220201PM,Gabe,2022-02-01,PM,3,389,Isabelle,Solo-Feed,
G_Gab20220201PM,Gabe,2022-02-01,PM,3,394,Apple,Solo-Feed,
G_Gab20220201PM,Gabe,2022-02-01,PM,3,398,Atilla,Locomote,
G_Gab20220201PM,Gabe,2022-02-01,PM,4,543,Gabe,Locomote,
G_Gab20220201PM,Gabe,2022-02-01,PM,4,545,Isabelle,Locomote,
G_Gab20220201PM,Gabe,2022-02-01,PM,4,562,Apple,Locomote,
G_Gab20220201PM,Gabe,2022-02-01,PM,4,571,Atilla,Locomote,
G_Gab20220201PM,Gabe,2022-02-01,PM,5,723,Gabe,Inactive,
G_Gab20220201PM,Gabe,2022-02-01,PM,5,726,Isabelle,Solo-Feed,
G_Gab20220201PM,Gabe,2022-02-01,PM,5,730,Apple,Solo-Feed,
G_Gab20220201PM,Gabe,2022-02-01,PM,5,733,Atilla,Solo-Feed,
G_Gab20220201PM,Gabe,2022-02-01,PM,6,905,Gabe,Solo-Feed,
G_Gab20220201PM,Gabe,2022-02-01,PM,6,911,Isabelle,Solo-Feed,
G_Gab20220201PM,Gabe,2022-02-01,PM,6,916,Apple,Locomote,
G_Gab20220201PM,Gabe,2022-02-01,PM,6,931,Atilla,Inactive,
G_Gab20220201PM,Gabe,2022-02-01,PM,7,1090,Gabe,Locomote,
G_Gab20220201PM,Gabe,2022-02-01,PM,7,1093,Isabelle,Manipulate,
G_Gab20220201PM,Gabe,2022-02-01,PM,7,1097,Apple,Inactive,
G_Gab20220201PM,Gabe,2022-02-01,PM,7,1099,Atilla,Locomote,
G_Gab20220201PM,Gabe,2022-02-01,PM,8,1266,Gabe,Manipulate,
G_Gab20220201PM,Gabe,2022-02-01,PM,8,1270,Isabelle,Inactive,
G_Gab20220201PM,Gabe,2022-02-01,PM,8,1274,Apple,Solo-Feed,
G_Gab20220201PM,Gabe,2022-02-01,PM,8,1277,Atilla,Locomote,
G_Gab20220201PM,Gabe,2022-02-01,PM,9,1449,Gabe,Inactive,
G_Gab20220201PM,Gabe,2022-02-01,PM,9,1454,Isabelle,Solo-Feed,
G_Gab20220201PM,Gabe,2022-02-01,PM,9,1458,Apple,Locomote,
G_Gab20220201PM,Gabe,2022-02-01,PM,9,1460,Atilla,Locomote,
G_Gab20220201PM,Gabe,2022-02-01,PM,10,1624,Gabe,,
G_Gab20220201PM,Gabe,2022-02-01,PM,10,1627,Isabelle,Inactive,
G_Gab20220201PM,Gabe,2022-02-01,PM,10,1631,Apple,Solo-Feed,
G_Gab20220201PM,Gabe,2022-02-01,PM,10,1634,Atilla,Locomote,
G_Gab20220201PM,Gabe,2022-02-01,PM,11,1801,Gabe,Inactive,
G_Gab20220201PM,Gabe,2022-02-01,PM,11,1809,Isabelle,Inactive,
G_Gab20220201PM,Gabe,2022-02-01,PM,11,1815,Apple,Locomote,
G_Gab20220201PM,Gabe,2022-02-01,PM,11,1817,Atilla,Locomote,
G_Gab20220202AM,Gabe,2022-02-02,AM,1,2,Gabe,Inactive,
G_Gab20220202AM,Gabe,2022-02-02,AM,1,4,Isabelle,Locomote,
G_Gab20220202AM,Gabe,2022-02-02,AM,1,7,Apple,Locomote,
G_Gab20220202AM,Gabe,2022-02-02,AM,1,9,Atilla,Locomote,
G_Gab20220202AM,Gabe,2022-02-02,AM,2,183,Gabe,Inactive,
G_Gab20220202AM,Gabe,2022-02-02,AM,2,187,Isabelle,Manipulate,
G_Gab20220202AM,Gabe,2022-02-02,AM,2,192,Apple,Locomote,
G_Gab20220202AM,Gabe,2022-02-02,AM,2,194,Atilla,Locomote,
G_Gab20220202AM,Gabe,2022-02-02,AM,3,363,Gabe,Groom,Gabe
G_Gab20220202AM,Gabe,2022-02-02,AM,3,367,Isabelle,Groom,Atilla
G_Gab20220202AM,Gabe,2022-02-02,AM,3,370,Apple,Locomote,
G_Gab20220202AM,Gabe,2022-02-02,AM,3,372,Atilla,Contact,Isabelle
G_Gab20220202AM,Gabe,2022-02-02,AM,4,541,Gabe,Groom,Gabe
G_Gab20220202AM,Gabe,2022-02-02,AM,4,544,Isabelle,Contact,Atilla
G_Gab20220202AM,Gabe,2022-02-02,AM,4,546,Apple,Locomote,
G_Gab20220202AM,Gabe,2022-02-02,AM,4,548,Atilla,Groom,Isabelle
G_Gab20220202AM,Gabe,2022-02-02,AM,5,721,Gabe,Groom,Gabe
G_Gab20220202AM,Gabe,2022-02-02,AM,5,724,Isabelle,Contact,Atilla
G_Gab20220202AM,Gabe,2022-02-02,AM,5,727,Apple,Locomote,
G_Gab20220202AM,Gabe,2022-02-02,AM,5,728,Atilla,Groom,Isabelle
G_Gab20220202AM,Gabe,2022-02-02,AM,6,902,Gabe,Groom,Gabe
G_Gab20220202AM,Gabe,2022-02-02,AM,6,906,Isabelle,Inactive,
G_Gab20220202AM,Gabe,2022-02-02,AM,6,912,Apple,Locomote,
G_Gab20220202AM,Gabe,2022-02-02,AM,6,914,Atilla,,
G_Gab20220202AM,Gabe,2022-02-02,AM,7,1082,Gabe,,
G_Gab20220202AM,Gabe,2022-02-02,AM,7,1085,Isabelle,Inactive,
G_Gab20220202AM,Gabe,2022-02-02,AM,7,1089,Apple,Locomote,
G_Gab20220202AM,Gabe,2022-02-02,AM,7,1091,Atilla,Locomote,
G_Gab20220202AM,Gabe,2022-02-02,AM,8,1263,Gabe,Inactive,
G_Gab20220202AM,Gabe,2022-02-02,AM,8,1266,Isabelle,Inactive,
G_Gab20220202AM,Gabe,2022-02-02,AM,8,1268,Apple,Sexual,Inter-G
