ObID,Group,Date,AMPM,Scan,TimeInSec,IndividualA,Behavior,IndividualB
G_Gab20210502PM,Gabe,2021-05-02,PM,1,2,Gabe,Locomote,
G_Gab20210502PM,Gabe,2021-05-02,PM,1,7,Isabelle,Solo-Feed,
G_Gab20210502PM,Gabe,2021-05-02,PM,1,14,Apple,Locomote,
G_Gab20210502PM,Gabe,2021-05-02,PM,1,19,Atilla,Inactive,
G_Gab20210502PM,Gabe,2021-05-02,PM,2,182,Gabe,Inactive,
G_Gab20210502PM,Gabe,2021-05-02,PM,2,186,Isabelle,Locomote,
G_Gab20210502PM,Gabe,2021-05-02,PM,2,188,Apple,Solo-Feed,
G_Gab20210502PM,Gabe,2021-05-02,PM,2,192,Atilla,Locomote,
G_Gab20210502PM,Gabe,2021-05-02,PM,3,362,Gabe,Inactive,
G_Gab20210502PM,Gabe,2021-05-02,PM,3,383,Isabelle,Locomote,
G_Gab20210502PM,Gabe,2021-05-02,PM,3,386,Apple,Inactive,
G_Gab20210502PM,Gabe,2021-05-02,PM,3,390,Atilla,Solo-Feed,
G_Gab20210502PM,Gabe,2021-05-02,PM,4,544,Gabe,Forage,
G_Gab20210502PM,Gabe,2021-05-02,PM,4,548,Isabelle,Forage,
G_Gab20210502PM,Gabe,2021-05-02,PM,4,553,Apple,Manipulate,
G_Gab20210502PM,Gabe,2021-05-02,PM,4,563,Atilla,Locomote,
G_Gab20210502PM,Gabe,2021-05-02,PM,5,724,Gabe,,
G_Gab20210502PM,Gabe,2021-05-02,PM,5,729,Isabelle,Forage,
G_Gab20210502PM,Gabe,2021-05-02,PM,5,739,Apple,Locomote,
G_Gab20210502PM,Gabe,2021-05-02,PM,5,746,Atilla,Manipulate,
G_Gab20210502PM,Gabe,2021-05-02,PM,6,903,Gabe,Locomote,
G_Gab20210502PM,Gabe,2021-05-02,PM,6,911,Isabelle,Solo-Feed,
G_Gab20210502PM,Gabe,2021-05-02,PM,6,915,Apple,Locomote,
G_Gab20210502PM,Gabe,2021-05-02,PM,6,917,Atilla,Proximity,Gabe
G_Gab20210502PM,Gabe,2021-05-02,PM,6,923,Atilla,Manipulate,
G_Gab20210502PM,Gabe,2021-05-02,PM,7,1083,Gabe,Solo-Feed,
G_Gab20210502PM,Gabe,2021-05-02,PM,7,1087,Isabelle,Locomote,
G_Gab20210502PM,Gabe,2021-05-02,PM,7,1093,Apple,Locomote,
G_Gab20210502PM,Gabe,2021-05-02,PM,7,1095,Atilla,Solo-Feed,
G_Gab20210502PM,Gabe,2021-05-02,PM,8,1263,Gabe,Locomote,
G_Gab20210502PM,Gabe,2021-05-02,PM,8,1266,Isabelle,Solo-Feed,
G_Gab20210502PM,Gabe,2021-05-02,PM,8,1274,Apple,Inactive,
G_Gab20210502PM,Gabe,2021-05-02,PM,8,1277,Atilla,Inactive,
G_Gab20210502PM,Gabe,2021-05-02,PM,9,1441,Gabe,Locomote,
G_Gab20210502PM,Gabe,2021-05-02,PM,9,1445,Isabelle,Inactive,
G_Gab20210502PM,Gabe,2021-05-02,PM,9,1449,Apple,Proximity,Atilla
G_Gab20210502PM,Gabe,2021-05-02,PM,9,1456,Atilla,Solo-Feed,
G_Gab20210502PM,Gabe,2021-05-02,PM,10,1622,Gabe,Solo-Feed,
G_Gab20210502PM,Gabe,2021-05-02,PM,10,1629,Isabelle,Inactive,
G_Gab20210502PM,Gabe,2021-05-02,PM,10,1636,Apple,Inactive,
G_Gab20210502PM,Gabe,2021-05-02,PM,10,1641,Atilla,Locomote,
