ObID,Group,Date,AMPM,Scan,TimeInSec,IndividualA,Behavior,IndividualB
G_Gri20220624PM,Griffin,6/24/2022,PM,1,0,Griffin,Solo-Feed,
G_Gri20220624PM,Griffin,6/24/2022,PM,1,7,Lexi,Solo-Feed,
G_Gri20220624PM,Griffin,6/24/2022,PM,1,13,Lily,Locomote,
G_Gri20220624PM,Griffin,6/24/2022,PM,1,20,Widget,Locomote,
G_Gri20220624PM,Griffin,6/24/2022,PM,1,26,Wren,Locomote,
G_Gri20220624PM,Griffin,6/24/2022,PM,2,181,Griffin,Proximity-Feed,Lily
G_Gri20220624PM,Griffin,6/24/2022,PM,2,190,Lexi,Inactive,
G_Gri20220624PM,Griffin,6/24/2022,PM,2,193,Lily,Locomote,
G_Gri20220624PM,Griffin,6/24/2022,PM,2,196,Widget,Forage,
G_Gri20220624PM,Griffin,6/24/2022,PM,2,203,Wren,Forage,
G_Gri20220624PM,Griffin,6/24/2022,PM,3,365,Griffin,Proximity-Feed,Lexi
G_Gri20220624PM,Griffin,6/24/2022,PM,3,375,Lexi,Proximity,Griffin
G_Gri20220624PM,Griffin,6/24/2022,PM,3,381,Lily,Inactive,
G_Gri20220624PM,Griffin,6/24/2022,PM,3,387,Widget,Forage,
G_Gri20220624PM,Griffin,6/24/2022,PM,3,411,Wren,,
G_Gri20220624PM,Griffin,6/24/2022,PM,4,546,Griffin,Proximity,Lexi
G_Gri20220624PM,Griffin,6/24/2022,PM,4,552,Lexi,Proximity-Feed,Griffin
G_Gri20220624PM,Griffin,6/24/2022,PM,4,559,Lily,Locomote,
G_Gri20220624PM,Griffin,6/24/2022,PM,4,571,Widget,Inactive,
G_Gri20220624PM,Griffin,6/24/2022,PM,4,580,Wren,Forage,
G_Gri20220624PM,Griffin,6/24/2022,PM,5,725,Griffin,Proximity,Lexi
G_Gri20220624PM,Griffin,6/24/2022,PM,5,731,Lexi,Proximity,Griffin
G_Gri20220624PM,Griffin,6/24/2022,PM,5,736,Lily,Locomote,
G_Gri20220624PM,Griffin,6/24/2022,PM,5,742,Widget,Solo-Feed,
G_Gri20220624PM,Griffin,6/24/2022,PM,5,755,Wren,Locomote,
G_Gri20220624PM,Griffin,6/24/2022,PM,6,902,Griffin,Solo-Feed,
G_Gri20220624PM,Griffin,6/24/2022,PM,6,909,Lexi,Locomote,
G_Gri20220624PM,Griffin,6/24/2022,PM,6,911,Lily,Solo-Feed,
G_Gri20220624PM,Griffin,6/24/2022,PM,6,914,Widget,Proximity,Wren
G_Gri20220624PM,Griffin,6/24/2022,PM,6,921,Wren,Forage,
G_Gri20220624PM,Griffin,6/24/2022,PM,7,1084,Griffin,Solo-Feed,
G_Gri20220624PM,Griffin,6/24/2022,PM,7,1090,Lexi,Solo-Feed,
G_Gri20220624PM,Griffin,6/24/2022,PM,7,1094,Lily,Locomote,
G_Gri20220624PM,Griffin,6/24/2022,PM,7,1105,Widget,Solo-Feed,
G_Gri20220624PM,Griffin,6/24/2022,PM,7,1114,Wren,Locomote,
G_Gri20220624PM,Griffin,6/24/2022,PM,8,1273,Griffin,Solo-Feed,
G_Gri20220624PM,Griffin,6/24/2022,PM,8,1278,Lexi,Locomote,
G_Gri20220624PM,Griffin,6/24/2022,PM,8,1281,Lily,Locomote,
G_Gri20220624PM,Griffin,6/24/2022,PM,8,1283,Widget,Solo-Feed,
G_Gri20220624PM,Griffin,6/24/2022,PM,8,1290,Wren,Forage,
G_Gri20220624PM,Griffin,6/24/2022,PM,9,1447,Griffin,Solo-Feed,
G_Gri20220624PM,Griffin,6/24/2022,PM,9,1452,Lexi,Solo-Feed,
G_Gri20220624PM,Griffin,6/24/2022,PM,9,1459,Lily,Locomote,
G_Gri20220624PM,Griffin,6/24/2022,PM,9,1461,Widget,Proximity,Wren
G_Gri20220624PM,Griffin,6/24/2022,PM,9,1466,Wren,Proximity,Widget
G_Gri20220624PM,Griffin,6/24/2022,PM,10,1622,Griffin,Inactive,
G_Gri20220624PM,Griffin,6/24/2022,PM,10,1627,Lexi,Solo-Feed,
G_Gri20220624PM,Griffin,6/24/2022,PM,10,1630,Lily,Inactive,
G_Gri20220624PM,Griffin,6/24/2022,PM,10,1637,Widget,Locomote,
G_Gri20220624PM,Griffin,6/24/2022,PM,10,1640,Wren,Forage,
G_Gri20220624PM,Griffin,6/24/2022,PM,11,1806,Griffin,Solo-Feed,
