ObID,Group,Date,AMPM,Scan,TimeInSec,IndividualA,Behavior,IndividualB
G_Gab20211102PM,Gabe,2021-11-02,PM,1,0,Gabe,Solo-Feed,
G_Gab20211102PM,Gabe,2021-11-02,PM,1,6,Isabelle,Locomote,
G_Gab20211102PM,Gabe,2021-11-02,PM,1,14,Apple,Proximity-Feed,Gabe
G_Gab20211102PM,Gabe,2021-11-02,PM,1,19,Atilla,Locomote,
G_Gab20211102PM,Gabe,2021-11-02,PM,2,184,Gabe,Proximity-Feed,Isabelle
G_Gab20211102PM,Gabe,2021-11-02,PM,2,192,Isabelle,Solo-Feed,
G_Gab20211102PM,Gabe,2021-11-02,PM,2,198,Apple,Locomote,
G_Gab20211102PM,Gabe,2021-11-02,PM,2,202,Atilla,Locomote,
G_Gab20211102PM,Gabe,2021-11-02,PM,3,364,Gabe,Locomote,
G_Gab20211102PM,Gabe,2021-11-02,PM,3,371,Isabelle,Solo-Feed,
G_Gab20211102PM,Gabe,2021-11-02,PM,3,376,Apple,Solo-Feed,
G_Gab20211102PM,Gabe,2021-11-02,PM,3,379,Atilla,Locomote,
G_Gab20211102PM,Gabe,2021-11-02,PM,4,544,Gabe,Locomote,
G_Gab20211102PM,Gabe,2021-11-02,PM,4,547,Isabelle,Solo-Feed,
G_Gab20211102PM,Gabe,2021-11-02,PM,4,551,Apple,Locomote,
G_Gab20211102PM,Gabe,2021-11-02,PM,4,563,Atilla,Locomote,
G_Gab20211102PM,Gabe,2021-11-02,PM,5,725,Gabe,Inactive,
G_Gab20211102PM,Gabe,2021-11-02,PM,5,730,Isabelle,Solo-Feed,
G_Gab20211102PM,Gabe,2021-11-02,PM,5,733,Apple,Locomote,
G_Gab20211102PM,Gabe,2021-11-02,PM,5,735,Atilla,Locomote,
G_Gab20211102PM,Gabe,2021-11-02,PM,6,903,Gabe,Locomote,
G_Gab20211102PM,Gabe,2021-11-02,PM,6,908,Isabelle,Solo-Feed,
G_Gab20211102PM,Gabe,2021-11-02,PM,6,912,Apple,Solo-Feed,
G_Gab20211102PM,Gabe,2021-11-02,PM,6,916,Atilla,Locomote,
G_Gab20211102PM,Gabe,2021-11-02,PM,7,1082,Gabe,Locomote,
G_Gab20211102PM,Gabe,2021-11-02,PM,7,1086,Isabelle,Solo-Feed,
G_Gab20211102PM,Gabe,2021-11-02,PM,7,1089,Apple,Solo-Feed,
G_Gab20211102PM,Gabe,2021-11-02,PM,7,1092,Atilla,Locomote,
G_Gab20211102PM,Gabe,2021-11-02,PM,8,1261,Gabe,Solo-Feed,
G_Gab20211102PM,Gabe,2021-11-02,PM,8,1267,Isabelle,Locomote,
G_Gab20211102PM,Gabe,2021-11-02,PM,8,1272,Apple,,
G_Gab20211102PM,Gabe,2021-11-02,PM,8,1276,Atilla,Proximity-Feed,Gabe
G_Gab20211102PM,Gabe,2021-11-02,PM,9,1442,Gabe,Locomote,
G_Gab20211102PM,Gabe,2021-11-02,PM,9,1446,Isabelle,Locomote,
G_Gab20211102PM,Gabe,2021-11-02,PM,9,1449,Apple,Solo-Feed,
G_Gab20211102PM,Gabe,2021-11-02,PM,9,1453,Atilla,Locomote,
G_Gab20211102PM,Gabe,2021-11-02,PM,10,1621,Gabe,Locomote,
G_Gab20211102PM,Gabe,2021-11-02,PM,10,1627,Isabelle,Solo-Feed,
G_Gab20211102PM,Gabe,2021-11-02,PM,10,1633,Apple,Solo-Feed,
G_Gab20211102PM,Gabe,2021-11-02,PM,10,1641,Atilla,Solo-Feed,
G_Gab20211102PM,Gabe,2021-11-02,PM,11,1801,Gabe,Locomote,
G_Gab20211102PM,Gabe,2021-11-02,PM,11,1805,Isabelle,Locomote,
G_Gab20211102PM,Gabe,2021-11-02,PM,11,1811,Apple,Solo-Feed,
G_Gab20211102PM,Gabe,2021-11-02,PM,11,1816,Atilla,Solo-Feed,
G_Gab20211107AM,Gabe,2021-11-07,AM,1,0,Gabe,,
G_Gab20211107AM,Gabe,2021-11-07,AM,1,4,Isabelle,Locomote,
G_Gab20211107AM,Gabe,2021-11-07,AM,1,9,Apple,Inactive,
G_Gab20211107AM,Gabe,2021-11-07,AM,1,13,Atilla,Locomote,
G_Gab20211107AM,Gabe,2021-11-07,AM,2,183,Gabe,Inactive,
G_Gab20211107AM,Gabe,2021-11-07,AM,2,189,Isabelle,Inactive,
G_Gab20211107AM,Gabe,2021-11-07,AM,2,193,Apple,Manipulate,
G_Gab20211107AM,Gabe,2021-11-07,AM,2,196,Atilla,Proximity,Apple
G_Gab20211107AM,Gabe,2021-11-07,AM,3,364,Gabe,Manipulate,
G_Gab20211107AM,Gabe,2021-11-07,AM,3,379,Isabelle,Solo-Feed,
G_Gab20211107AM,Gabe,2021-11-07,AM,3,384,Apple,Manipulate,
G_Gab20211107AM,Gabe,2021-11-07,AM,3,392,Atilla,Locomote,
G_Gab20211107AM,Gabe,2021-11-07,AM,4,544,Gabe,Groom,Gabe
G_Gab20211107AM,Gabe,2021-11-07,AM,4,549,Isabelle,Solo-Feed,
G_Gab20211107AM,Gabe,2021-11-07,AM,4,559,Apple,Inactive,
G_Gab20211107AM,Gabe,2021-11-07,AM,4,562,Atilla,Locomote,
G_Gab20211107AM,Gabe,2021-11-07,AM,5,724,Gabe,Manipulate,
G_Gab20211107AM,Gabe,2021-11-07,AM,5,730,Isabelle,Locomote,
G_Gab20211107AM,Gabe,2021-11-07,AM,5,734,Apple,Locomote,
G_Gab20211107AM,Gabe,2021-11-07,AM,5,737,Atilla,Locomote,
G_Gab20211107AM,Gabe,2021-11-07,AM,6,904,Gabe,Locomote,
G_Gab20211107AM,Gabe,2021-11-07,AM,6,908,Isabelle,Inactive,
G_Gab20211107AM,Gabe,2021-11-07,AM,6,912,Apple,Forage,
G_Gab20211107AM,Gabe,2021-11-07,AM,6,916,Atilla,Locomote,
G_Gab20211107AM,Gabe,2021-11-07,AM,7,1084,Gabe,Solo-Feed,
G_Gab20211107AM,Gabe,2021-11-07,AM,7,1090,Isabelle,Inactive,
G_Gab20211107AM,Gabe,2021-11-07,AM,7,1095,Apple,Locomote,
G_Gab20211107AM,Gabe,2021-11-07,AM,7,1098,Atilla,Locomote,
G_Gab20211107AM,Gabe,2021-11-07,AM,8,1265,Gabe,Forage,
G_Gab20211107AM,Gabe,2021-11-07,AM,8,1278,Isabelle,Forage,
G_Gab20211107AM,Gabe,2021-11-07,AM,8,1282,Apple,Locomote,
G_Gab20211107AM,Gabe,2021-11-07,AM,8,1290,Atilla,Locomote,
G_Gab20211107AM,Gabe,2021-11-07,AM,9,1443,Gabe,Locomote,
G_Gab20211107AM,Gabe,2021-11-07,AM,9,1447,Isabelle,Forage,
G_Gab20211107AM,Gabe,2021-11-07,AM,9,1453,Apple,Solo-Feed,
