ObID,Group,Date,AMPM,Scan,TimeInSec,IndividualA,Behavior,IndividualB
G_Gab20210107PM,Gabe,2021-01-07,PM,1,5,Gabe,Solo-Feed,
G_Gab20210107PM,Gabe,2021-01-07,PM,1,11,Isabelle,Solo-Feed,
G_Gab20210107PM,Gabe,2021-01-07,PM,1,16,Apple,Solo-Feed,
G_Gab20210107PM,Gabe,2021-01-07,PM,1,19,Atilla,Solo-Feed,
G_Gab20210107PM,Gabe,2021-01-07,PM,2,183,Gabe,Solo-Feed,
G_Gab20210107PM,Gabe,2021-01-07,PM,2,190,Isabelle,Locomote,
G_Gab20210107PM,Gabe,2021-01-07,PM,2,193,Apple,Inactive,
G_Gab20210107PM,Gabe,2021-01-07,PM,2,196,Atilla,Locomote,
G_Gab20210107PM,Gabe,2021-01-07,PM,3,365,Gabe,Solo-Feed,
G_Gab20210107PM,Gabe,2021-01-07,PM,3,372,Isabelle,Proximity,Apple
G_Gab20210107PM,Gabe,2021-01-07,PM,3,379,Apple,Solo-Feed,
G_Gab20210107PM,Gabe,2021-01-07,PM,3,382,Atilla,Locomote,
G_Gab20210107PM,Gabe,2021-01-07,PM,4,547,Gabe,Locomote,
G_Gab20210107PM,Gabe,2021-01-07,PM,4,550,Isabelle,Inactive,
G_Gab20210107PM,Gabe,2021-01-07,PM,4,554,Apple,Solo-Feed,
G_Gab20210107PM,Gabe,2021-01-07,PM,4,558,Atilla,Solo-Feed,
G_Gab20210107PM,Gabe,2021-01-07,PM,5,730,Gabe,Inactive,
G_Gab20210107PM,Gabe,2021-01-07,PM,5,735,Isabelle,Inactive,
G_Gab20210107PM,Gabe,2021-01-07,PM,5,739,Apple,Locomote,
G_Gab20210107PM,Gabe,2021-01-07,PM,5,742,Atilla,Locomote,
G_Gab20210107PM,Gabe,2021-01-07,PM,6,904,Gabe,Locomote,
G_Gab20210107PM,Gabe,2021-01-07,PM,6,909,Isabelle,Inactive,
G_Gab20210107PM,Gabe,2021-01-07,PM,6,920,Apple,Solo-Feed,
G_Gab20210107PM,Gabe,2021-01-07,PM,6,924,Atilla,Locomote,
G_Gab20210107PM,Gabe,2021-01-07,PM,7,1088,Gabe,Locomote,
G_Gab20210107PM,Gabe,2021-01-07,PM,7,1092,Isabelle,Inactive,
G_Gab20210107PM,Gabe,2021-01-07,PM,7,1099,Apple,Inactive,
G_Gab20210107PM,Gabe,2021-01-07,PM,7,1103,Atilla,Locomote,
G_Gab20210107PM,Gabe,2021-01-07,PM,8,1264,Gabe,Forage,
G_Gab20210107PM,Gabe,2021-01-07,PM,8,1275,Isabelle,Solo-Feed,
G_Gab20210107PM,Gabe,2021-01-07,PM,8,1281,Apple,Abnormal,
G_Gab20210107PM,Gabe,2021-01-07,PM,8,1286,Atilla,Locomote,
G_Gab20210107PM,Gabe,2021-01-07,PM,9,1449,Gabe,Inactive,
G_Gab20210107PM,Gabe,2021-01-07,PM,9,1456,Isabelle,Inactive,
G_Gab20210107PM,Gabe,2021-01-07,PM,9,1459,Atilla,Inactive,
G_Gab20210107PM,Gabe,2021-01-07,PM,9,1462,Atilla,Inactive,
G_Gab20210107PM,Gabe,2021-01-07,PM,10,1625,Gabe,Inactive,
G_Gab20210107PM,Gabe,2021-01-07,PM,10,1640,Isabelle,Locomote,
G_Gab20210107PM,Gabe,2021-01-07,PM,10,1649,Apple,Locomote,
G_Gab20210107PM,Gabe,2021-01-07,PM,10,1652,Atilla,Locomote,
G_Gab20210107PM,Gabe,2021-01-07,PM,11,1807,Gabe,Locomote,
G_Gab20210107PM,Gabe,2021-01-07,PM,11,1811,Isabelle,Locomote,
G_Gab20210107PM,Gabe,2021-01-07,PM,11,1814,Apple,,
G_Gab20210107PM,Gabe,2021-01-07,PM,11,1815,Atilla,Abnormal,
G_Gab20210113PM,Gabe,2021-01-13,PM,1,1,Gabe,Locomote,
G_Gab20210113PM,Gabe,2021-01-13,PM,1,6,Isabelle,Solo-Feed,
G_Gab20210113PM,Gabe,2021-01-13,PM,1,21,Apple,Proximity-Feed,Isabelle
G_Gab20210113PM,Gabe,2021-01-13,PM,1,30,Atilla,Locomote,
G_Gab20210113PM,Gabe,2021-01-13,PM,2,182,Gabe,Locomote,
G_Gab20210113PM,Gabe,2021-01-13,PM,2,186,Isabelle,Solo-Feed,
G_Gab20210113PM,Gabe,2021-01-13,PM,2,194,Apple,Locomote,
G_Gab20210113PM,Gabe,2021-01-13,PM,2,199,Atilla,Locomote,
G_Gab20210113PM,Gabe,2021-01-13,PM,3,363,Gabe,Solo-Feed,
G_Gab20210113PM,Gabe,2021-01-13,PM,3,370,Isabelle,Solo-Feed,
G_Gab20210113PM,Gabe,2021-01-13,PM,3,388,Apple,Solo-Feed,
G_Gab20210113PM,Gabe,2021-01-13,PM,3,395,Atilla,Locomote,
G_Gab20210113PM,Gabe,2021-01-13,PM,4,543,Gabe,Solo-Feed,
G_Gab20210113PM,Gabe,2021-01-13,PM,4,553,Isabelle,Proximity,Apple
G_Gab20210113PM,Gabe,2021-01-13,PM,4,568,Apple,Proximity,Isabelle
G_Gab20210113PM,Gabe,2021-01-13,PM,4,574,Atilla,Solo-Feed,
G_Gab20210113PM,Gabe,2021-01-13,PM,5,723,Gabe,Locomote,
G_Gab20210113PM,Gabe,2021-01-13,PM,5,728,Isabelle,Solo-Feed,
G_Gab20210113PM,Gabe,2021-01-13,PM,5,735,Apple,Solo-Feed,
G_Gab20210113PM,Gabe,2021-01-13,PM,5,744,Atilla,Locomote,
G_Gab20210113PM,Gabe,2021-01-13,PM,6,903,Gabe,Locomote,
G_Gab20210113PM,Gabe,2021-01-13,PM,6,906,Isabelle,Inactive,
G_Gab20210113PM,Gabe,2021-01-13,PM,6,912,Apple,Locomote,
G_Gab20210113PM,Gabe,2021-01-13,PM,6,917,Atilla,Locomote,
G_Gab20210113PM,Gabe,2021-01-13,PM,7,1085,Gabe,Locomote,
G_Gab20210113PM,Gabe,2021-01-13,PM,7,1089,Isabelle,Solo-Feed,
G_Gab20210113PM,Gabe,2021-01-13,PM,7,1095,Apple,Inactive,
G_Gab20210113PM,Gabe,2021-01-13,PM,7,1101,Atilla,Locomote,
G_Gab20210113PM,Gabe,2021-01-13,PM,8,1264,Gabe,Inactive,
G_Gab20210113PM,Gabe,2021-01-13,PM,8,1268,Isabelle,Forage,
G_Gab20210113PM,Gabe,2021-01-13,PM,8,1278,Apple,Solo-Feed,
G_Gab20210113PM,Gabe,2021-01-13,PM,8,1292,Atilla,,
G_Gab20210113PM,Gabe,2021-01-13,PM,9,1447,Gabe,Inactive,
G_Gab20210113PM,Gabe,2021-01-13,PM,9,1453,Isabelle,Inactive,
G_Gab20210113PM,Gabe,2021-01-13,PM,9,1458,Apple,Solo-Feed,
G_Gab20210113PM,Gabe,2021-01-13,PM,9,1466,Atilla,Solo-Feed,
G_Gab20210113PM,Gabe,2021-01-13,PM,10,1622,Gabe,Solo-Feed,
G_Gab20210113PM,Gabe,2021-01-13,PM,10,1628,Isabelle,Locomote,
G_Gab20210113PM,Gabe,2021-01-13,PM,10,1634,Apple,Locomote,
G_Gab20210113PM,Gabe,2021-01-13,PM,10,1640,Atilla,Locomote,
G_Gab20210113PM,Gabe,2021-01-13,PM,11,1802,Gabe,Solo-Feed,
G_Gab20210113PM,Gabe,2021-01-13,PM,11,1809,Isabelle,Forage,
G_Gab20210113PM,Gabe,2021-01-13,PM,11,1822,Isabelle,Proximity,Apple
G_Gab20210113PM,Gabe,2021-01-13,PM,11,1827,Apple,Proximity,Isabelle
G_Gab20210113PM,Gabe,2021-01-13,PM,11,1831,Apple,Forage,
G_Gab20210113PM,Gabe,2021-01-13,PM,11,1835,Atilla,Locomote,
G_Gab20210124PM,Gabe,2021-01-24,PM,1,3,Gabe,Inactive,
G_Gab20210124PM,Gabe,2021-01-24,PM,1,11,Isabelle,Inactive,
G_Gab20210124PM,Gabe,2021-01-24,PM,1,29,Apple,Inactive,
G_Gab20210124PM,Gabe,2021-01-24,PM,1,33,Atilla,Locomote,
G_Gab20210124PM,Gabe,2021-01-24,PM,2,183,Gabe,Proximity,Atilla
G_Gab20210124PM,Gabe,2021-01-24,PM,2,197,Isabelle,Groom,Isabelle
G_Gab20210124PM,Gabe,2021-01-24,PM,2,204,Apple,Solo-Feed,
G_Gab20210124PM,Gabe,2021-01-24,PM,2,210,Atilla,Locomote,
G_Gab20210124PM,Gabe,2021-01-24,PM,3,366,Gabe,Solo-Feed,
G_Gab20210124PM,Gabe,2021-01-24,PM,3,371,Isabelle,Manipulate,
G_Gab20210124PM,Gabe,2021-01-24,PM,3,382,Apple,Solo-Feed,
G_Gab20210124PM,Gabe,2021-01-24,PM,3,389,Atilla,Solo-Feed,
G_Gab20210124PM,Gabe,2021-01-24,PM,4,543,Gabe,Solo-Feed,
G_Gab20210124PM,Gabe,2021-01-24,PM,4,550,Isabelle,Inactive,
G_Gab20210124PM,Gabe,2021-01-24,PM,4,555,Apple,Locomote,
G_Gab20210124PM,Gabe,2021-01-24,PM,4,558,Atilla,Solo-Feed,
G_Gab20210124PM,Gabe,2021-01-24,PM,5,724,Gabe,Proximity-Feed,Atilla
G_Gab20210124PM,Gabe,2021-01-24,PM,5,731,Isabelle,Inactive,
G_Gab20210124PM,Gabe,2021-01-24,PM,5,739,Apple,Locomote,
G_Gab20210124PM,Gabe,2021-01-24,PM,5,744,Atilla,Locomote,
G_Gab20210124PM,Gabe,2021-01-24,PM,6,903,Gabe,Inactive,
G_Gab20210124PM,Gabe,2021-01-24,PM,6,916,Isabelle,Locomote,
G_Gab20210124PM,Gabe,2021-01-24,PM,6,920,Apple,Solo-Feed,
G_Gab20210124PM,Gabe,2021-01-24,PM,6,925,Atilla,Locomote,
G_Gab20210124PM,Gabe,2021-01-24,PM,7,1083,Gabe,Solo-Feed,
G_Gab20210124PM,Gabe,2021-01-24,PM,7,1106,Isabelle,Forage,
G_Gab20210124PM,Gabe,2021-01-24,PM,7,1112,Apple,Solo-Feed,
G_Gab20210124PM,Gabe,2021-01-24,PM,7,1120,Atilla,Locomote,
G_Gab20210124PM,Gabe,2021-01-24,PM,8,1264,Gabe,Solo-Feed,
G_Gab20210124PM,Gabe,2021-01-24,PM,8,1267,Isabelle,Forage,
G_Gab20210124PM,Gabe,2021-01-24,PM,8,1273,Apple,Locomote,
G_Gab20210124PM,Gabe,2021-01-24,PM,8,1277,Atilla,Locomote,
G_Gab20210124PM,Gabe,2021-01-24,PM,9,1443,Gabe,Proximity-Feed,Atilla
G_Gab20210124PM,Gabe,2021-01-24,PM,9,1450,Isabelle,Locomote,
G_Gab20210124PM,Gabe,2021-01-24,PM,9,1454,Apple,Solo-Feed,
G_Gab20210124PM,Gabe,2021-01-24,PM,9,1460,Atilla,Locomote,
G_Gab20210124PM,Gabe,2021-01-24,PM,10,1624,Gabe,Solo-Feed,
G_Gab20210124PM,Gabe,2021-01-24,PM,10,1632,Isabelle,Inactive,
G_Gab20210124PM,Gabe,2021-01-24,PM,10,1637,Apple,Locomote,
G_Gab20210124PM,Gabe,2021-01-24,PM,10,1643,Atilla,Solo-Feed,
G_Gab20210124PM,Gabe,2021-01-24,PM,11,1802,Gabe,Locomote,
G_Gab20210124PM,Gabe,2021-01-24,PM,11,1807,Isabelle,Inactive,
G_Gab20210124PM,Gabe,2021-01-24,PM,11,1815,Apple,Manipulate,
G_Gab20210124PM,Gabe,2021-01-24,PM,11,1824,Atilla,Locomote,
G_Gab20210126AM,Gabe,2021-01-26,AM,1,10,Gabe,Locomote,
G_Gab20210126AM,Gabe,2021-01-26,AM,1,15,Isabelle,Locomote,
G_Gab20210126AM,Gabe,2021-01-26,AM,1,18,Apple,Locomote,
G_Gab20210126AM,Gabe,2021-01-26,AM,1,21,Atilla,Inactive,
G_Gab20210126AM,Gabe,2021-01-26,AM,2,182,Gabe,Manipulate,
G_Gab20210126AM,Gabe,2021-01-26,AM,2,185,Isabelle,Inactive,
G_Gab20210126AM,Gabe,2021-01-26,AM,2,188,Apple,Inactive,
G_Gab20210126AM,Gabe,2021-01-26,AM,2,190,Atilla,Manipulate,
G_Gab20210126AM,Gabe,2021-01-26,AM,3,362,Gabe,Manipulate,
G_Gab20210126AM,Gabe,2021-01-26,AM,3,364,Isabelle,Inactive,
G_Gab20210126AM,Gabe,2021-01-26,AM,3,367,Apple,,
G_Gab20210126AM,Gabe,2021-01-26,AM,3,370,Atilla,Locomote,
G_Gab20210126AM,Gabe,2021-01-26,AM,4,543,Gabe,Locomote,
G_Gab20210126AM,Gabe,2021-01-26,AM,4,547,Isabelle,Locomote,
G_Gab20210126AM,Gabe,2021-01-26,AM,4,549,Apple,Locomote,
G_Gab20210126AM,Gabe,2021-01-26,AM,4,552,Atilla,Locomote,
G_Gab20210126AM,Gabe,2021-01-26,AM,5,725,Gabe,,
G_Gab20210126AM,Gabe,2021-01-26,AM,5,727,Isabelle,Locomote,
G_Gab20210126AM,Gabe,2021-01-26,AM,5,729,Apple,Inactive,
G_Gab20210126AM,Gabe,2021-01-26,AM,5,731,Atilla,Manipulate,
G_Gab20210126AM,Gabe,2021-01-26,AM,6,913,Gabe,Manipulate,
G_Gab20210126AM,Gabe,2021-01-26,AM,6,917,Isabelle,Inactive,
G_Gab20210126AM,Gabe,2021-01-26,AM,6,921,Apple,Inactive,
