ObID,Group,Date,AMPM,Scan,TimeInSec,IndividualA,Behavior,IndividualB
G_Gab20211010AM,Gabe,2021-10-10,AM,1,0,Gabe,Locomote,
G_Gab20211010AM,Gabe,2021-10-10,AM,1,4,Isabelle,Locomote,
G_Gab20211010AM,Gabe,2021-10-10,AM,1,6,Apple,Locomote,
G_Gab20211010AM,Gabe,2021-10-10,AM,1,10,Atilla,,
G_Gab20211010AM,Gabe,2021-10-10,AM,2,182,Gabe,Locomote,
G_Gab20211010AM,Gabe,2021-10-10,AM,2,185,Isabelle,Locomote,
G_Gab20211010AM,Gabe,2021-10-10,AM,2,188,Apple,Locomote,
G_Gab20211010AM,Gabe,2021-10-10,AM,2,193,Atilla,Inactive,
G_Gab20211010AM,Gabe,2021-10-10,AM,3,362,Gabe,,
G_Gab20211010AM,Gabe,2021-10-10,AM,3,365,Isabelle,Abnormal,
G_Gab20211010AM,Gabe,2021-10-10,AM,3,373,Apple,Abnormal,
G_Gab20211010AM,Gabe,2021-10-10,AM,3,383,Atilla,,
G_Gab20211010AM,Gabe,2021-10-10,AM,4,542,Gabe,Inactive,
G_Gab20211010AM,Gabe,2021-10-10,AM,4,547,Isabelle,Locomote,
G_Gab20211010AM,Gabe,2021-10-10,AM,4,549,Apple,Locomote,
G_Gab20211010AM,Gabe,2021-10-10,AM,4,551,Atilla,Manipulate,
G_Gab20211010AM,Gabe,2021-10-10,AM,5,722,Gabe,Locomote,
G_Gab20211010AM,Gabe,2021-10-10,AM,5,727,Isabelle,Inactive,
G_Gab20211010AM,Gabe,2021-10-10,AM,5,734,Apple,Locomote,
G_Gab20211010AM,Gabe,2021-10-10,AM,5,738,Atilla,,
G_Gab20211010AM,Gabe,2021-10-10,AM,6,905,Gabe,Locomote,
G_Gab20211010AM,Gabe,2021-10-10,AM,6,910,Isabelle,Locomote,
G_Gab20211010AM,Gabe,2021-10-10,AM,6,913,Apple,Proximity,Gabe
G_Gab20211010AM,Gabe,2021-10-10,AM,6,919,Atilla,Locomote,
G_Gab20211010AM,Gabe,2021-10-10,AM,7,1084,Gabe,Inactive,
G_Gab20211010AM,Gabe,2021-10-10,AM,7,1089,Isabelle,Locomote,
G_Gab20211010AM,Gabe,2021-10-10,AM,7,1093,Apple,Locomote,
G_Gab20211010AM,Gabe,2021-10-10,AM,7,1100,Atilla,Inactive,
G_Gab20211010AM,Gabe,2021-10-10,AM,8,1263,Gabe,Locomote,
G_Gab20211010AM,Gabe,2021-10-10,AM,8,1266,Isabelle,Inactive,
G_Gab20211010AM,Gabe,2021-10-10,AM,8,1272,Apple,Locomote,
G_Gab20211010AM,Gabe,2021-10-10,AM,8,1277,Atilla,Locomote,
G_Gab20211010AM,Gabe,2021-10-10,AM,9,1443,Gabe,Inactive,
G_Gab20211010AM,Gabe,2021-10-10,AM,9,1448,Isabelle,Inactive,
G_Gab20211010AM,Gabe,2021-10-10,AM,9,1451,Apple,Locomote,
G_Gab20211010AM,Gabe,2021-10-10,AM,9,1459,Atilla,Locomote,
G_Gab20211010AM,Gabe,2021-10-10,AM,10,1623,Gabe,,
G_Gab20211010AM,Gabe,2021-10-10,AM,10,1627,Isabelle,Locomote,
G_Gab20211010AM,Gabe,2021-10-10,AM,10,1629,Apple,Locomote,
G_Gab20211010AM,Gabe,2021-10-10,AM,10,1631,Atilla,Locomote,
G_Gab20211010AM,Gabe,2021-10-10,AM,11,1803,Gabe,Locomote,
G_Gab20211010AM,Gabe,2021-10-10,AM,11,1807,Isabelle,Inactive,
G_Gab20211010AM,Gabe,2021-10-10,AM,11,1810,Apple,Locomote,
G_Gab20211010AM,Gabe,2021-10-10,AM,11,1813,Atilla,Locomote,
G_Gab20211012PM,Gabe,2021-10-12,PM,1,1,Gabe,,
G_Gab20211012PM,Gabe,2021-10-12,PM,1,3,Isabelle,Inactive,
G_Gab20211012PM,Gabe,2021-10-12,PM,1,7,Apple,Abnormal,
G_Gab20211012PM,Gabe,2021-10-12,PM,1,16,Atilla,Locomote,
G_Gab20211012PM,Gabe,2021-10-12,PM,2,184,Gabe,Inactive,
G_Gab20211012PM,Gabe,2021-10-12,PM,2,188,Isabelle,Locomote,
G_Gab20211012PM,Gabe,2021-10-12,PM,2,193,Apple,Locomote,
G_Gab20211012PM,Gabe,2021-10-12,PM,2,197,Atilla,Locomote,
G_Gab20211012PM,Gabe,2021-10-12,PM,3,365,Gabe,Solo-Feed,
G_Gab20211012PM,Gabe,2021-10-12,PM,3,371,Isabelle,Locomote,
G_Gab20211012PM,Gabe,2021-10-12,PM,3,379,Apple,Locomote,
G_Gab20211012PM,Gabe,2021-10-12,PM,3,382,Atilla,Locomote,
G_Gab20211012PM,Gabe,2021-10-12,PM,4,546,Gabe,Solo-Feed,
