ObID,Group,Date,AMPM,Scan,TimeInSec,IndividualA,Behavior,IndividualB
G_Gab20210404PM,Gabe,2021-04-04,PM,1,0,Gabe,Locomote,
G_Gab20210404PM,Gabe,2021-04-04,PM,1,6,Isabelle,Forage,
G_Gab20210404PM,Gabe,2021-04-04,PM,1,17,Apple,Locomote,
G_Gab20210404PM,Gabe,2021-04-04,PM,1,24,Atilla,,
G_Gab20210404PM,Gabe,2021-04-04,PM,2,184,Gabe,Solo-Feed,
G_Gab20210404PM,Gabe,2021-04-04,PM,2,190,Isabelle,Locomote,
G_Gab20210404PM,Gabe,2021-04-04,PM,2,196,Apple,Inactive,
G_Gab20210404PM,Gabe,2021-04-04,PM,2,202,Atilla,Locomote,
G_Gab20210404PM,Gabe,2021-04-04,PM,3,364,Gabe,Locomote,
G_Gab20210404PM,Gabe,2021-04-04,PM,3,367,Isabelle,,
G_Gab20210404PM,Gabe,2021-04-04,PM,3,372,Apple,Locomote,
G_Gab20210404PM,Gabe,2021-04-04,PM,3,377,Atilla,Solo-Feed,
G_Gab20210404PM,Gabe,2021-04-04,PM,4,544,Gabe,Solo-Feed,
G_Gab20210404PM,Gabe,2021-04-04,PM,4,550,Isabelle,,
G_Gab20210404PM,Gabe,2021-04-04,PM,4,555,Apple,Locomote,
G_Gab20210404PM,Gabe,2021-04-04,PM,4,567,Atilla,Solo-Feed,
G_Gab20210404PM,Gabe,2021-04-04,PM,5,722,Gabe,Solo-Feed,
G_Gab20210404PM,Gabe,2021-04-04,PM,5,727,Isabelle,Inactive,
G_Gab20210404PM,Gabe,2021-04-04,PM,5,732,Apple,Locomote,
G_Gab20210404PM,Gabe,2021-04-04,PM,5,735,Atilla,Solo-Feed,
G_Gab20210404PM,Gabe,2021-04-04,PM,6,902,Gabe,Locomote,
G_Gab20210404PM,Gabe,2021-04-04,PM,6,905,Isabelle,Solo-Feed,
G_Gab20210404PM,Gabe,2021-04-04,PM,6,909,Apple,Solo-Feed,
G_Gab20210404PM,Gabe,2021-04-04,PM,6,914,Atilla,Solo-Feed,
G_Gab20210404PM,Gabe,2021-04-04,PM,7,1084,Gabe,Solo-Feed,
G_Gab20210404PM,Gabe,2021-04-04,PM,7,1088,Isabelle,Inactive,
G_Gab20210404PM,Gabe,2021-04-04,PM,7,1093,Apple,Locomote,
G_Gab20210404PM,Gabe,2021-04-04,PM,7,1097,Atilla,Proximity-Feed,Gabe
G_Gab20210404PM,Gabe,2021-04-04,PM,8,1263,Gabe,Locomote,
G_Gab20210404PM,Gabe,2021-04-04,PM,8,1266,Isabelle,,
G_Gab20210404PM,Gabe,2021-04-04,PM,8,1270,Apple,Inactive,
G_Gab20210404PM,Gabe,2021-04-04,PM,8,1276,Atilla,Solo-Feed,
G_Gab20210404PM,Gabe,2021-04-04,PM,9,1442,Gabe,Locomote,
G_Gab20210404PM,Gabe,2021-04-04,PM,9,1446,Isabelle,Solo-Feed,
G_Gab20210404PM,Gabe,2021-04-04,PM,9,1451,Apple,Locomote,
G_Gab20210404PM,Gabe,2021-04-04,PM,9,1454,Atilla,Inactive,
G_Gab20210404PM,Gabe,2021-04-04,PM,10,1622,Gabe,Locomote,
G_Gab20210404PM,Gabe,2021-04-04,PM,10,1626,Isabelle,Solo-Feed,
G_Gab20210404PM,Gabe,2021-04-04,PM,10,1631,Apple,Locomote,
G_Gab20210404PM,Gabe,2021-04-04,PM,10,1635,Atilla,Solo-Feed,
G_Gab20210404PM,Gabe,2021-04-04,PM,11,1802,Gabe,Locomote,
G_Gab20210404PM,Gabe,2021-04-04,PM,11,1805,Isabelle,Locomote,
G_Gab20210404PM,Gabe,2021-04-04,PM,11,1811,Apple,Locomote,
G_Gab20210404PM,Gabe,2021-04-04,PM,11,1813,Atilla,Locomote,
G_Gab20210406AM,Gabe,2021-04-06,AM,1,2,Gabe,Inactive,
G_Gab20210406AM,Gabe,2021-04-06,AM,1,4,Isabelle,Locomote,
G_Gab20210406AM,Gabe,2021-04-06,AM,1,8,Apple,Locomote,
G_Gab20210406AM,Gabe,2021-04-06,AM,1,10,Atilla,Locomote,
G_Gab20210406AM,Gabe,2021-04-06,AM,2,181,Gabe,Inactive,
G_Gab20210406AM,Gabe,2021-04-06,AM,2,184,Isabelle,Locomote,
G_Gab20210406AM,Gabe,2021-04-06,AM,2,188,Apple,Locomote,
G_Gab20210406AM,Gabe,2021-04-06,AM,2,192,Atilla,Locomote,
G_Gab20210406AM,Gabe,2021-04-06,AM,3,362,Gabe,Locomote,
G_Gab20210406AM,Gabe,2021-04-06,AM,3,368,Isabelle,Inactive,
G_Gab20210406AM,Gabe,2021-04-06,AM,3,370,Apple,Locomote,
G_Gab20210406AM,Gabe,2021-04-06,AM,3,372,Atilla,Locomote,
G_Gab20210406AM,Gabe,2021-04-06,AM,4,542,Gabe,Manipulate,
G_Gab20210406AM,Gabe,2021-04-06,AM,4,546,Isabelle,Inactive,
G_Gab20210406AM,Gabe,2021-04-06,AM,4,548,Apple,Locomote,
G_Gab20210406AM,Gabe,2021-04-06,AM,4,551,Atilla,Locomote,
G_Gab20210406AM,Gabe,2021-04-06,AM,5,723,Gabe,Locomote,
G_Gab20210406AM,Gabe,2021-04-06,AM,5,726,Isabelle,Inactive,
G_Gab20210406AM,Gabe,2021-04-06,AM,5,730,Apple,Locomote,
G_Gab20210406AM,Gabe,2021-04-06,AM,5,733,Atilla,Locomote,
G_Gab20210406AM,Gabe,2021-04-06,AM,6,903,Gabe,Locomote,
G_Gab20210406AM,Gabe,2021-04-06,AM,6,906,Isabelle,Locomote,
G_Gab20210406AM,Gabe,2021-04-06,AM,6,910,Apple,Locomote,
G_Gab20210406AM,Gabe,2021-04-06,AM,6,914,Atilla,Locomote,
G_Gab20210406AM,Gabe,2021-04-06,AM,7,1083,Gabe,Inactive,
G_Gab20210406AM,Gabe,2021-04-06,AM,7,1087,Isabelle,Locomote,
G_Gab20210406AM,Gabe,2021-04-06,AM,7,1089,Apple,Sexual,Inter-G
G_Gab20210406AM,Gabe,2021-04-06,AM,7,1094,Atilla,Locomote,
G_Gab20210406AM,Gabe,2021-04-06,AM,8,1266,Isabelle,Inactive,
G_Gab20210406AM,Gabe,2021-04-06,AM,8,1269,Apple,Locomote,
G_Gab20210406AM,Gabe,2021-04-06,AM,8,1270,Atilla,Locomote,
